CIDADE,QTD,NM_MUNICIPIO,QT_VOTOS,SCORE_OPORTUNIDADE,SCORE_DENTISTAS,SCORE_VOTOS_PL,SCORE_ROI,SCORE_FINAL,TIER,EXPLICACAO,CIDADE_NORM,mesorregiao-nome_x,regiao-intermediaria-nome,DELEGACIA_CRO,mesorregiao-nome_y,microrregiao-nome
NAQUE,23.0,NAQUE,4051,46.5865,4.14,3.58,2.0,3.41,C,"Dentistas: 23 → score 4.14 | Votos PL/Nikolas: 4,051 → score 3.58 | ROI: município pequeno → score 2.0",NAQUE,Vale do Rio Doce,Ipatinga,Ipatinga,Vale do Rio Doce,Ipatinga
SÃO SEBASTIÃO DO OESTE,18.0,SÃO SEBASTIÃO DO OESTE,5168,46.512,3.11,4.92,2.0,3.47,C,"Dentistas: 18 → score 3.11 | Votos PL/Nikolas: 5,168 → score 4.92 | ROI: município pequeno → score 2.0",SÃO SEBASTIÃO DO OESTE,Oeste de Minas,Divinópolis,Divinópolis,Oeste de Minas,Divinópolis
JENIPAPO DE MINAS,25.0,JENIPAPO DE MINAS,3709,46.3625,4.46,3.04,2.0,3.35,C,"Dentistas: 25 → score 4.46 | Votos PL/Nikolas: 3,709 → score 3.04 | ROI: município pequeno → score 2.0",JENIPAPO DE MINAS,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Capelinha
JEQUITIBÁ,20.0,JEQUITIBÁ,4635,46.35,3.59,4.37,2.0,3.47,C,"Dentistas: 20 → score 3.59 | Votos PL/Nikolas: 4,635 → score 4.37 | ROI: município pequeno → score 2.0",JEQUITIBÁ,Metropolitana de Belo Horizonte,Belo Horizonte,BH — Sede,Metropolitana de Belo Horizonte,Sete Lagoas
SARDOÁ,28.0,SARDOÁ,3303,46.242,4.92,2.45,2.0,3.33,C,"Dentistas: 28 → score 4.92 | Votos PL/Nikolas: 3,303 → score 2.45 | ROI: município pequeno → score 2.0",SARDOÁ,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Guanhães
SANTA EFIGÊNIA DE MINAS,35.0,SANTA EFIGÊNIA DE MINAS,2639,46.1825,5.75,1.34,2.0,3.27,C,"Dentistas: 35 → score 5.75 | Votos PL/Nikolas: 2,639 → score 1.34 | ROI: município pequeno → score 2.0",SANTA EFIGÊNIA DE MINAS,Vale do Rio Doce,Governador Valadares,Governador Valadares,Vale do Rio Doce,Guanhães
RIO PRETO,22.0,RIO PRETO,4148,45.628,4.03,3.67,2.0,3.4,C,"Dentistas: 22 → score 4.03 | Votos PL/Nikolas: 4,148 → score 3.67 | ROI: município pequeno → score 2.0",RIO PRETO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Juiz de Fora
ALTO CAPARAÓ,25.0,ALTO CAPARAÓ,3631,45.3875,4.46,2.91,2.0,3.3,C,"Dentistas: 25 → score 4.46 | Votos PL/Nikolas: 3,631 → score 2.91 | ROI: município pequeno → score 2.0",ALTO CAPARAÓ,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Manhuaçu
DOM SILVÉRIO,26.0,DOM SILVÉRIO,3467,45.071,4.68,2.69,2.0,3.31,C,"Dentistas: 26 → score 4.68 | Votos PL/Nikolas: 3,467 → score 2.69 | ROI: município pequeno → score 2.0",DOM SILVÉRIO,Zona da Mata,Juíz de Fora,Juiz de Fora,Zona da Mata,Ponte Nova
VEREDINHA,24.0,VEREDINHA,3750,45.0,4.27,3.12,2.0,3.3,C,"Dentistas: 24 → score 4.27 | Votos PL/Nikolas: 3,750 → score 3.12 | ROI: município pequeno → score 2.0",VEREDINHA,Jequitinhonha,Teófilo Otoni,Teófilo Otoni,Jequitinhonha,Capelinha
